                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.95994,                0.63592,                0.85418,                0.85015,                0.72836,                0.78962,                0.56719,                0.78815,                0.51766,                0.85232,              0.0082675,              0.0082675,              0.0082675
                     37,                0.96289,                 0.6354,                0.85307,                0.88147,                 0.7354,                0.81158,                0.60209,                0.75012,                0.49237,                0.84866,               0.008218,               0.008218,               0.008218
                     38,                0.95116,                 0.6293,                0.85129,                0.88032,                0.73267,                0.80587,                0.59409,                0.76449,                0.49834,                0.85222,              0.0081685,              0.0081685,              0.0081685
                     39,                0.95756,                0.63186,                0.85074,                0.87881,                0.74165,                0.80868,                 0.5994,                0.73687,                0.49635,                0.84645,               0.008119,               0.008119,               0.008119
                     40,                0.94458,                0.62976,                0.85141,                0.86693,                0.72875,                0.80262,                0.59605,                0.73513,                0.49043,                 0.8472,              0.0080695,              0.0080695,              0.0080695
                     41,                0.94754,                0.62858,                0.84872,                0.86214,                0.74911,                0.81066,                0.60444,                0.73505,                0.48725,                0.84734,                0.00802,                0.00802,                0.00802
                     42,                 0.9306,                0.61507,                0.84887,                0.86818,                0.73499,                0.80198,                0.59721,                0.76681,                0.50087,                0.84939,              0.0079705,              0.0079705,              0.0079705
                     43,                0.93273,                 0.6192,                0.84774,                 0.8968,                0.73184,                0.80703,                 0.6034,                0.72829,                0.48425,                0.84735,               0.007921,               0.007921,               0.007921
                     44,                0.92431,                0.61152,                0.84802,                0.87407,                0.74233,                0.81197,                0.59783,                0.73368,                 0.4907,                0.84975,              0.0078715,              0.0078715,              0.0078715
                     45,                0.92352,                0.61032,                0.84761,                0.88982,                0.74242,                0.81353,                0.60115,                0.73481,                0.48771,                0.84931,               0.007822,               0.007822,               0.007822
                     46,                0.91304,                0.60863,                0.84493,                 0.8821,                0.75297,                 0.8195,                0.61945,                 0.7109,                0.47681,                 0.8413,              0.0077725,              0.0077725,              0.0077725
                     47,                0.91487,                0.60745,                0.84593,                0.87988,                 0.7505,                0.81932,                0.61947,                0.70844,                0.47461,                0.84328,               0.007723,               0.007723,               0.007723
                     48,                0.90496,                0.60146,                0.84396,                0.87488,                0.74814,                0.81372,                0.61441,                0.71234,                0.47335,                0.84605,              0.0076735,              0.0076735,              0.0076735
                     49,                0.90238,                0.60058,                0.84453,                0.88459,                0.74841,                 0.8163,                 0.6258,                0.69524,                0.46511,                0.84124,               0.007624,               0.007624,               0.007624
                     50,                0.90095,                0.59832,                0.84187,                0.89975,                0.74571,                0.82252,                0.62145,                0.69282,                0.46478,                 0.8414,              0.0075745,              0.0075745,              0.0075745
                     51,                0.88516,                0.58868,                0.84305,                0.87803,                0.75276,                 0.8186,                0.61446,                0.69033,                0.46044,                0.84045,               0.007525,               0.007525,               0.007525
                     52,                0.88963,                0.59144,                0.84164,                0.88546,                0.75287,                0.82252,                0.62717,                0.70266,                0.46907,                0.84114,              0.0074755,              0.0074755,              0.0074755
                     53,                 0.8878,                0.59073,                0.84139,                0.89857,                0.74535,                0.82283,                0.62864,                0.68591,                0.45904,                0.83832,               0.007426,               0.007426,               0.007426
                     54,                 0.8751,                0.58413,                0.84015,                0.88898,                0.75691,                0.82307,                0.62903,                0.68966,                0.46068,                0.83932,              0.0073765,              0.0073765,              0.0073765
                     55,                0.87945,                0.58609,                0.84052,                0.88051,                 0.7512,                0.81718,                 0.6283,                0.68214,                0.45841,                0.84054,               0.007327,               0.007327,               0.007327
                     56,                0.88145,                0.58704,                0.84021,                0.88242,                0.75995,                0.82599,                0.62563,                0.68097,                0.45891,                0.84118,              0.0072775,              0.0072775,              0.0072775
                     57,                0.86927,                0.58109,                0.84047,                0.88506,                0.75852,                0.82787,                0.63036,                0.67129,                0.45582,                0.83661,               0.007228,               0.007228,               0.007228
                     58,                0.86794,                0.58004,                0.83765,                0.89611,                0.74696,                0.82155,                0.62748,                0.67867,                0.45507,                0.83841,              0.0071785,              0.0071785,              0.0071785
                     59,                0.86673,                0.57865,                0.83715,                0.88725,                 0.7647,                0.82961,                0.64031,                0.65524,                0.44637,                0.83662,               0.007129,               0.007129,               0.007129
                     60,                0.85609,                0.57121,                0.83658,                0.88988,                0.75925,                  0.828,                0.64002,                0.66392,                0.44722,                0.83653,              0.0070795,              0.0070795,              0.0070795
